price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,socity,company_name,flat_type
10700000,under construction,1138,9450.0,2 bhk apartment in m3m antalya hills phase i,sector 79,home,True,2,m3m antalya hills phase i,m3m,apartment
14400000,under construction,1528,9450.0,3 bhk apartment in m3m antalya hills phase i,sector 79,property in gurgaon,True,3,m3m antalya hills phase i,m3m,apartment
10700000,under construction,1138,9450.0,2 bhk apartment in m3m antalya hills phase i,sector 79,properties for sale in gurgaon,True,2,m3m antalya hills phase i,m3m,apartment
40000000,ready to move,4500,8888.0,4 bhk independent floor,sector 57,mm india pvt ltd,False,4,outside socity,outside,plot
24000000,under construction,1800,13333.0,3 bhk independent floor in anant raj estate plots,sector 63,mm india pvt ltd,True,3,anant raj estate plots,anant,floor
63800000,ready to move,2282,28000.0,3 bhk apartment in dlf park place,sector 54,mm india pvt ltd,False,3,dlf park place,dlf,apartment
4500000,ready to move,920,4891.0,3 bhk apartment,sector 3a,seller,False,3,outside socity,outside,plot
4500000,ready to move,1000,4500.0,2 bhk apartment,sector 69,seller,False,2,outside socity,outside,plot
9000000,ready to move,1250,7200.0,3 bhk independent floor in bptp astaire garden plots,sector 70a,seller,False,3,bptp astaire garden plots,bptp,floor
74900000,under construction,3800,19736.0,4 bhk apartment in dlf the arbour,sector 63,seller,True,4,dlf the arbour,dlf,apartment
19700000,under construction,2390,8250.0,4 bhk apartment in navraj the antalya,sector 37d,seller,True,4,navraj the antalya,navraj,apartment
80100000,under construction,3956,20253.0,4 bhk apartment in dlf the arbour,sector 63,seller,True,4,dlf the arbour,dlf,apartment
13700000,under construction,1450,9448.0,3 bhk apartment in ss cendana residence,sector 83,superb solution providers pvt ltd,True,3,ss cendana residence,ss,apartment
22000000,ready to move,2450,8979.0,4 bhk independent floor,sector 51,sharma realtors solution,False,4,outside socity,outside,plot
15000000,under construction,1205,12448.0,3 bhk apartment in signature global city 81 phase 2,sector 81,sm realty,True,3,signature global city 81 phase 2,signature,apartment
44000000,under construction,1677,26237.0,3 bhk apartment in adani brahma samsara vilasa,sector 63,impex estates india private limited,True,3,adani brahma samsara vilasa,adani,apartment
12000000,ready to move,1430,8391.0,3 bhk apartment in mapsko casa bella,sector 82,bricksblenders,False,3,mapsko casa bella,mapsko,apartment
52500000,ready to move,2905,18072.0,4 bhk apartment in tata primanti,sector 72,corvous india infratech pvt ltd,False,4,tata primanti,tata,apartment
4600000,ready to move,720,6388.0,1 bhk apartment in ameya sapphire eighty three,sector 83,ayuni direct realty,False,1,ameya sapphire eighty three,ameya,apartment
30000000,ready to move,2082,14409.0,3 bhk apartment in omaxe the nile,sector 49,sagar,False,3,omaxe the nile,omaxe,apartment
9900000,ready to move,1366,7247.0,2 bhk apartment in m3m woodshire,sector 107,home,False,2,m3m woodshire,m3m,apartment
45300000,ready to move,3969,11413.0,4 bhk independent floor in unitown trehan luxury floor 63,sector 63,property in gurgaon,False,4,unitown trehan luxury floor 63,unitown,floor
120000000,ready to move,3500,34285.0,4 bhk apartment in dlf the belaire,sector 54,properties for sale in gurgaon,False,4,dlf the belaire,dlf,apartment
35500000,ready to move,2450,14489.0,3 bhk apartment in puri emerald bay,sector 104,bhoomi realtors,False,3,puri emerald bay,puri,apartment
10500000,ready to move,1000,10500.0,2 bhk independent floor in signature global city 92,sector 92,keshri real tech,False,2,signature global city 92,signature,floor
19000000,ready to move,2365,8033.0,4 bhk apartment in pareena express heights,sector 99a,angel bricks,False,4,pareena express heights,pareena,apartment
